MAP2K4	P45985
IRF6	O14896
ZNF502	Q8TBZ5
HOXA3	O43365
PWP1	Q13610
SOX15	O60248
PHTF1	Q9UMS5
SPZ1	Q9BXG8
HOXD1	Q9GZZ0
CBX6	O95503
SOX8	P57073
ZSCAN18	Q8TBC5
TIGD4	Q8IY51
NAP1L2	Q9ULW6
LDB2	O43679
PRICKLE3	O43900
LMX1B	O60663
ZNF512B	Q96KM6
MEIS2	O14770
ZDHHC2	Q9UIJ5
SSX5	O60225
PAPOLG	Q9BWT3
HESX1	Q9UBX0
RHOXF1	Q8NHV9
FUBP3	Q96I24
ZNF23	P17027
ZNF195	O14628
DIP2C	Q9Y2E4
MIS18BP1	Q6P0N0
HES4	Q9HCC6
SOWAHC	Q53LP3
FBXL19	Q6PCT2
TLX3	O43711
SSX1	Q16384
ANKZF1	Q9H8Y5
ZNF407	Q9C0G0
ASCL3	Q9NQ33
UBP1	Q9NZI7
VENTX	O95231
ZFY	P08048
ZNF41	P51814
ZNF70	Q9UC06
HDX	Q7Z353
ZNF200	P98182
ZNF212	Q9UDV6
SUGP2	Q8IX01
ZNF490	Q9ULM2
ANKRD53	Q8N9V6
L3MBTL3	Q96JM7
FANK1	Q8TC84
ZNF584	Q8IVC4
HIST1H2BJ	P06899
DMRTC2	Q8IXT2
DACH2	Q96NX9
ZBTB6	Q15916
ZNF273	Q14593
NKX2-3	Q8TAU0
ZNF768	Q9H5H4
ANKEF1	Q9NU02
ZKSCAN5	Q9Y2L8
ZNF513	Q8N8E2
GATAD1	Q8WUU5
ANKRD22	Q5VYY1
CHURC1	Q8WUH1
ZNF593	O00488
ZNF397	Q8NF99
ZNF747	Q9BV97
TBX20	Q9UMR3
NCOA5	Q9HCD5
ANKRD55	Q3KP44
ZNF556	Q9HAH1
TGIF2LY	Q8IUE0
INSM2	Q96T92
ZNF597	Q96LX8
ZNF519	Q8TB69
ZSCAN4	Q8NAM6
ZNF396	Q96N95
FBXO6	Q9NRD1
EGLN3	Q9H6Z9
WDR5B	Q86VZ2
POC1B	Q8TC44
WDR76	Q9H967
WDR12	Q9GZL7
WDR53	Q7Z5U6
DACT1	Q9NYF0
SMARCA1	P28370
CDCA2	Q69YH5
F2RL1	P55085
CBL	P22681
SENP8	Q96LD8
TSPY1	Q01534
SERPINB5	P36952
HOXA11	P31270
SYF2	O95926
FOXN3	O00409
PI4K2B	Q8TCG2
MLANA	Q16655
CTBP2	P56545
TRPS1	Q9UHF7
REPIN1	Q9BWE0
TAT	P17735
DNAJC13	O75165
FBXO32	Q969P5
MAGEA2	P43356
SAP30L	Q9HAJ7
NGFR	P08138
XPO4	Q9C0E2
EHMT1	Q9H9B1
WIZ	O95785
WIZ	O95785
SENP6	Q9GZR1
GFI1B	Q5VTD9
DLC1	Q96QB1
PROP1	O75360
CAMTA2	O94983
HRH3	Q9Y5N1
ETV2	O00321
OAZ1	P54368
RHD	Q02161
ZNF461	Q8TAF7
CREB3L4	Q8TEY5
CHMP4C	Q96CF2
MYSM1	Q5VVJ2
HSF4	Q9ULV5
DHX30	Q7L2E3
HIST1H2BM	Q99879
KLF15	Q9UIH9
FBXO27	Q8NI29
ZNF251	Q9BRH9
SCOC	Q9UIL1
TBC1D25	Q3MII6
NR2E1	Q9Y466
ZNF318	Q5VUA4
SNCAIP	Q9Y6H5
HMGXB4	Q9UGU5
RGP1	Q92546
RIC1	Q4ADV7
SAP25	Q8TEE9
TTLL12	Q14166
ZC3HAV1	Q7Z2W4
LPCAT1	Q8NF37
DNAJA2	O60884
PPP1R14C	Q8TAE6
ZNF420	Q8TAQ5
MYEF2	Q9P2K5
SNAI2	O43623
SNAI3	Q3KNW1
NKX3-2	P78367
ZNF506	Q5JVG8
SKP2	Q13309
OXA1L	Q15070
MRPL13	Q9BYD1
MRPL48	Q96GC5
MRPL49	Q13405
MRPL51	Q4U2R6
HMX1	Q9NP08
MBD3	O95983
DNAJB5	O75953
PRMT6	Q96LA8
ESCO2	Q56NI9
MSL1	Q68DK7
MSL3	Q8N5Y2
TCFL5	Q9UL49
DUSP7	Q16829
HIST1H2AM	P0C0S8
H2BFM	P0C1H6
CDK12	Q9NYV4
HSD11B2	P80365
WNT9B	O14905
PABPC3	Q9H361
TTPA	P49638
TUBA1C	Q9BQE3
ADRBK1	P25098
RAD54L2	Q9Y4B4
MTA3	Q9BTC8
NKX3-1	Q99801
SP5	Q6BEB4
PROKR2	Q8NFJ6
BCL6B	Q8N143
HIST1H3I	P68431
HIST1H3J	P68431
DHX16	O60231
OLIG2	Q13516
RPS5	P46782
RPS7	P62081
MRPS23	Q9Y3D9
DDX50	Q9BQ39
OGFR	Q9NZT2
CRYBB3	P26998
CALR3	Q96L12
ACO2	Q99798
PPIL1	Q9Y3C6
CYP17A1	P05093
PTMS	P20962
RREB1	Q92766
ENDOG	Q14249
ATXN1L	P0C7T5
TUBGCP3	Q96CW5
EPC2	Q52LR7
ZNF516	Q92618
VHLL	Q6RSH7
PCNP	Q8WW12
HIST1H2AB	P04908
CDC123	O75794
SOCS6	O14544
TUBD1	Q9UJT1
CYP4V2	Q6ZWL3
NEUROG2	Q9H2A3
TTC37	Q6PGP7
CDCA7L	Q96GN5
AGRN	O00468
TSSK6	Q9BXA6
DACT2	Q5SW24
HECW2	Q9P2P5
BST2	Q10589
CPA4	Q9UI42
HIST1H1D	P16402
H2AFY2	Q9P0M6
HIST1H4G	Q99525
HIST1H2AA	Q96QV6
HIST1H2AH	Q96KK5
HIST1H2BH	Q93079
H2AFV	Q71UI9
ZNF512	Q96ME7
RNF213	Q63HN8
NCAPH	Q15003
HP1BP3	Q5SSJ5
GIMAP1	Q8WWP7
EDC4	Q6P2E9
DDX18	Q9NVP1
CDCA7	Q9BWT1
BRD3	Q15059
AHCTF1	Q8WYP5
MBD3L2	Q8NHZ7
NKX2-2	O95096
NOSIP	Q9Y314
ATF7IP2	Q5U623
PARP10	Q53GL7
MB	P02144
FAM109A	Q8N4B1
FAM109B	Q6ICB4
MARCH8	Q5T0T0
ZBTB4	Q9P1Z0
ANKRD12	Q6UB98
HIF3A	Q9Y2N7
NAA10	P41227
DVL1	O14640
NCOA1	Q15788
SLC5A5	Q92911
MEF2B	Q02080
ARRB1	P49407
ANXA4	P09525
EPC1	Q9H2F5
TFDP1	Q14186
SATB2	Q9UPW6
NLRP2	Q9NX02
CEP164	Q9UPV0
CAMK4	Q16566
KPNA7	A9QM74
DIP2A	Q14689
SLC2A4RG	Q9NR83
SUDS3	Q9H7L9
CHAF1A	Q13111
INO80D	Q53TQ3
LIN54	Q6MZP7
UHRF1BP1	Q6BDS2
SARM1	Q6SZW1
TICAM2	Q86XR7
PPARGC1A	Q9UBK2
ILF3	Q12906
INCENP	Q9NQS7
CTF1	Q16619
ZNF76	P36508
FKTN	O75072
TBP	P20226
GTF2B	Q00403
PBX1	P40424
TOP2A	P11388
HTATIP2	Q9BUP3
ALKBH1	Q13686
POLN	Q7Z5Q5
PAX7	P23759
FOSB	P53539
TNP1	P09430
ZC3H13	Q5T200
ZFP91	Q96JP5
CENPN	Q96H22
CENPM	Q9NSP4
CENPI	Q92674
PALB2	Q86YC2
ABCB1	P08183
UBE2N	P61088
SRD5A3	Q9H8P0
NDFIP1	Q9BT67
CDKN2A	Q8N726
CDKN2A	P42771
BLID	Q8IZY5
MYL6B	P14649
RMI2	Q96E14
ATAD5	Q96QE3
ANKMY2	Q8IV38
GUCY2D	Q02846
ASH1L	Q9NR48
ZNF395	Q9H8N7
CCDC71	Q8IV32
DHRS12	A0PJE2
ROR2	Q01974
FZD5	Q13467
BCORL1	Q5H9F3
CDH1	P12830
DSC1	Q08554
RPE65	Q16518
SLC27A1	Q6PCB7
TRAPPC13	A5PLN9
LRP6	O75581
KMT2E	Q8IZD2
PRDM5	Q9NQX1
MYO1E	Q12965
CNN3	Q15417
OVOL1	O14753
PHF20	Q9BVI0
PHF20L1	A8MW92
SAMSN1	Q9NSI8
SAP30	O75446
ZMAT3	Q9HA38
ZNF131	P52739
MBTD1	Q05BQ5
KDM4C	Q9H3R0
AFF3	P51826
CACNA1D	Q01668
MCM3	P25205
MCM4	P33991
SSPN	Q14714
HOXD13	P35453
LPIN1	Q14693
ZNF382	Q96SR6
GAS2	O43903
NUTM1	Q86Y26
KDM6B	O15054
DEC1	Q9P2X7
PRMT5	O14744
ZNF711	Q9Y462
RBM3	P98179
CENPV	Q7Z7K6
RPS27L	Q71UM5
RBP2	P50120
ESCO1	Q5FWF5
RPS8	P62241
JMJD6	Q6NYC1
TPPP	O94811
HELQ	Q8TDG4
ATM	Q13315
ATR	Q13535
CHEK2	O96017
UNKL	Q9H9P5
EME2	A4GXA9
INTS2	Q9H0H0
INTS5	Q6P9B9
INTS6	Q9UL03
INTS8	Q75QN2
INTS9	Q9NV88
INTS10	Q9NVR2
INTS12	Q96CB8
NAIF1	Q69YI7
NABP2	Q9BQ15
NABP1	Q96AH0
ZNF592	Q92610
ZNF687	Q8N1G0
GLI2	P10070
ZSWIM2	Q8NEG5
MRPL36	Q9P0J6
PPP1R3C	Q9UQK1
DDX53	Q86TM3
HIST1H4C	P62805
PYDC1	Q8WXC3
C17ORF49	Q8IXM2
TRA2A	Q13595
HELT	A6NFD8
DOCK6	Q96HP0
LUZP1	Q86V48
EP300	Q09472
CDK9	P50750
RNF111	Q6ZNA4
MYOG	P15173
DNAJB2	P25686
RYBP	Q8N488
SMARCAD1	Q9H4L7
FBXL20	Q96IG2
PINK1	Q9BXM7
ZNF746	Q6NUN9
BCL2L12	Q9HB09
ZC3HAV1L	Q96H79
MCCC2	Q9HCC0
RASGEF1C	Q8N431
FBXO21	O94952
FOXJ3	Q9UPW0
PRPS1L1	P21108
MACROD2	A1Z1Q3
TBX1	O43435
RSBN1L	Q6PCB5
CFAP58	Q5T655
GRPEL1	Q9HAV7
TDRD6	O60522
PITRM1	Q5JRX3
ATP2B1	P20020
ATP2B3	Q16720
SLTM	Q9NWH9
NT5DC2	Q9H857
ZNF703	Q9H7S9
ARHGAP20	Q9P2F6
RAVER1	Q8IY67
IVD	P26440
PAXBP1	Q9Y5B6
MYOM2	P54296
PYCR2	Q96C36
EEFSEC	P57772
AASS	Q9UDR5
GPATCH8	Q9UKJ3
ZKSCAN4	Q969J2
CYLC2	Q14093
TMPRSS13	Q9BYE2
CEP131	Q9UPN4
YTHDF3	Q7Z739
PDIA3	P30101
AKR1B10	O60218
LYPD6B	Q8NI32
RNF31	Q96EP0
FOXRED2	Q8IWF2
GLIS3	Q8NEA6
SYVN1	Q86TM6
KRT2	P35908
PYGO2	Q9BRQ0
MAVS	Q7Z434
MIIP	Q5JXC2
ADARB1	P78563
TMX1	Q9H3N1
POFUT1	Q9H488
ERP29	P30040
TXNDC12	O95881
PTGES2	Q9H7Z7
CFAP45	Q9UL16
RMDN1	Q96DB5
HIBCH	Q6NVY1
RPS27A	P62979
SPRY2	O43597
VASH1	Q7L8A9
SNX18	Q96RF0
MFN1	Q8IWA4
TMEM173	Q86WV6
MFGE8	Q08431
GPR56	Q9Y653
KCNN4	O15554
ZNF668	Q96K58
USP2	O75604
GDAP1	Q8TB36
ERLIN2	O94905
ABCC4	O15439
TUBB4A	P04350
IQCK	Q8N0W5
DCTN6	O00399
PXK	Q7Z7A4
LAMP2	P13473
THAP5	Q7Z6K1
UBTD2	Q8WUN7
DNAJA4	Q8WW22
CYB5R3	P00387
TUBGCP5	Q96RT8
STOML2	Q9UJZ1
MYH1	P12882
CYB5R1	Q9UHQ9
NDUFS3	O75489
SDHA	P31040
ALDH1B1	P30837
ARV1	Q9H2C2
PSAT1	Q9Y617
FRY	Q5TBA9
KIF21B	O75037
MAEA	Q7L5Y9
TMEM39B	Q9GZU3
RIMKLB	Q9ULI2
ACP2	P11117
MTCH2	Q9Y6C9
BPIFA1	Q9NP55
ERLIN1	O75477
RPS20	P60866
MRPL27	Q9P0M9
ATP6V0D1	P61421
ANKRD13A	Q8IZ07
ASPSCR1	Q9BZE9
ANKIB1	Q9P2G1
RHBDD3	Q9Y3P4
EMC3	Q9P0I2
FGD2	Q7Z6J4
SPRYD7	Q5W111
CCDC134	Q9H6E4
C10ORF90	Q96M02
MARC1	Q5VT66
DCAKD	Q8WVC6
OCIAD1	Q9NX40
C19ORF44	Q9H6X5
CHCHD6	Q9BRQ6
UCK2	Q9BZX2
RBM12	Q9NTZ6
TRAFD1	O14545
MFN2	O95140
SCN8A	Q9UQD0
HAS2	Q92819
HAS3	O00219
ANAPC15	P60006
HMGB3	O15347
TAS2R13	Q9NYV9
DNAJC2	Q99543
SIRT4	Q9Y6E7
SLC25A5	P05141
TDRD3	Q9H7E2
DIO3	P55073
ZNF274	Q96GC6
GCN1	Q92616
PATL1	Q86TB9
TSPYL5	Q86VY4
PSMA8	Q8TAA3
DDX52	Q9Y2R4
PSME4	Q14997
CELSR2	Q9HCU4
PTK7	Q13308
CD276	Q5ZPR3
NCR3LG1	Q68D85
FREM2	Q5SZK8
AGK	Q53H12
CNNM2	Q9H8M5
FAT4	Q6V0I7
CDHR1	Q96JP9
DCHS1	Q96JQ0
NOMO3	P69849
PCDH9	Q9HC56
NRP2	O60462
PCDH7	O60245
PCDH20	Q8N6Y1
PCDHGA11	Q9Y5H2
TMEM59	Q9BXS4
VPS26A	O75436
RHOT2	Q8IXI1
FAT3	Q8TDW7
MYO5C	Q9NQX4
IDH3B	O43837
P4HA1	P13674
CEPT1	Q9Y6K0
GCDH	Q92947
IDH3G	P51553
NDUFA8	P51970
PPT1	P50897
ACOT8	O14734
IQGAP3	Q86VI3
TRMT1L	Q7Z2T5
HIGD1A	Q9Y241
SUCLG1	P53597
ZNF121	P58317
MTRF1	O75570
FBXO45	P0C2W1
DNASE1	P24855
MIP	P30301
PRR14L	Q5THK1
ANKLE2	Q86XL3
MYLPF	Q96A32
SERTAD4	Q9NUC0
SKA2	Q8WVK7
SKA3	Q8IX90
IER5	Q5VY09
ZBTB21	Q9ULJ3
SLC25A3	Q00325
GLYATL3	Q5SZD4
WDR81	Q562E7
SLC25A31	Q9H0C2
TDRD1	Q9BXT4
IER2	Q9BTL4
HIST1H1T	P22492
RPL24	P83731
RPS23	P62266
PURB	Q96QR8
KRT9	P35527
HIST1H4I	P62805
HIST1H4D	P62805
HIST1H4F	P62805
HIST1H4K	P62805
HIST1H4J	P62805
HIST1H4H	P62805
HIST1H4B	P62805
HIST1H4E	P62805
HIST1H4L	P62805
HIST2H4B	P62805
ASPRV1	Q53RT3
KRT80	Q6KB66
POF1B	Q8WVV4
KRT73	Q86Y46
ANXA8L1	Q5VT79
ANXA8	P13928
KRT28	Q7Z3Y7
KRT26	Q7Z3Y9
KRT12	Q99456
HBA2	P69905
SERPINB12	Q96P63
TXN2	Q99757
POTEF	A5A3E0
POTEE	Q6S8J3
PRDX2	P32119
SRXN1	Q9BYN0
CYB5B	O43169
ACOT9	Q9Y305
ALDH1L2	Q3SY69
ATP5H	O75947
NDUFAF3	Q9BU61
MMAB	Q96EY8
MCU	Q8NE86
CHCHD1	Q96BP2
DDX28	Q9NUL7
ECI1	P42126
ERAL1	O75616
FASTKD2	Q9NYY8
GLUD1	P00367
GRSF1	Q12849
HARS2	P49590
MALSU1	Q96EH3
C6ORF203	Q9P0P8
LETM1	O95202
ME2	P23368
NGRN	Q9NPE2
MUT	P22033
MCAT	Q8IVS2
MRPL1	Q9BYD6
MRPL11	Q9Y3B7
MRPL14	Q6P1L8
MRPL15	Q9P015
MRPL16	Q9NX20
MRPL18	Q9H0U6
MRPL19	P49406
MRPL2	Q5T653
MRPL22	Q9NWU5
MRPL24	Q96A35
MRPL3	P09001
MRPL32	Q9BYC8
MRPL41	Q8IXM3
MRPL46	Q9H2W6
MRPL47	Q9HD33
MRPL50	Q8N5N7
MRPL54	Q6P161
MRPL55	Q7Z7F7
MRPL9	Q9BYD2
MRPS10	P82664
MRPS11	P82912
MRPS15	P82914
MRPS16	Q9Y3D3
MRPS17	Q9Y2R5
MRPS18A	Q9NVS2
MRPS2	Q9Y399
MRPS28	Q9Y2Q9
MRPS30	Q9NP92
MRRF	Q96E11
MRM1	Q6IN84
MTERF1	Q99551
MTERF3	Q96E29
MTERF4	Q7Z6M4
NDUFS8	O00217
PTCD1	O75127
PCCB	P05166
PUS1	Q9Y606
PUSL1	Q8N0Z8
RPUSD3	Q6P087
SLC25A18	Q9H1K4
SUPV3L1	Q8IYB8
TARS2	Q9BW92
TRUB2	O95900
ISCA1	Q9BUE6
VARS2	Q5ST30
PHF19	Q5T6S3
PAPD5	Q8NDF8
ZCCHC7	Q8N3Z6
PAPD7	Q5XG87
MARCH1	Q8TCQ1
GEMIN8	Q9NWZ8
CPSF3	Q9UKF6
ABCF2	Q9UG63
SIK1	P57059
NUAK2	Q9H093
BRSK1	Q8TDC3
SPIN1	Q9H2V7
SPIN1	Q9Y657
RPL27A	P46776
RPL27	P61353
ATP5I	P56385
UHRF1	Q96T88
DHRS2	Q13268
MAPK13	O15264
GFM1	Q96RP9
POU2F3	Q9UKI9
ZNF443	Q9Y2A4
PARP12	Q9H0J9
OSBPL1A	Q9BXW6
WNT16	Q9UBV4
LPAR4	Q99677
DROSHA	Q9NRR4
IDI2	Q9BXS1
SPTLC2	O15270
PANX3	Q96QZ0
CSMD1	Q96PZ7
SENP7	Q9BQF6
DNAH9	Q9NYC9
WDR35	Q9P2L0
TNIK	Q9UKE5
TBRG1	Q3YBR2
MTMR4	Q9NYA4
ABTB1	Q969K4
DNTTIP1	Q9H147
DGCR8	Q8WYQ5
RPS24	P62847
EIF4E3	Q8N5X7
RNF187	Q5TA31
HIST1H2AK	P0C0S8
P3H4	Q92791
MYL3	P08590
ANKRD18A	Q8IVF6
HMGCS2	P54868
UBAC2	Q8NBM4
ATP12A	P54707
FAHD1	Q6P587
FAAH	O00519
DNAJB12	Q9NXW2
METTL7A	Q9H8H3
ZMPSTE24	O75844
FOLH1	Q04609
PDIA5	Q14554
TM9SF1	O15321
NDUFB4	O95168
KBTBD3	Q8NAB2
HIST1H2AG	P0C0S8
TUBB8	Q3ZCM7
ARMC10	Q8N2F6
FAM83F	Q8NEG4
POTEI	P0CG38
OPA1	O60313
OPA1	Q93074
RGPD6	Q99666
KATNA1	O75449
FOXN2	P32314
ARHGDIA	P52565
ARHGDIB	P52566
ARRDC3	Q96B67
NEDD4L	Q96PU5
SPSB4	Q96A44
SPSB2	Q99619
SPSB3	Q6PJ21
MIB1	Q86YT6
MIB2	Q96AX9
MALT1	Q9UDY8
BCL10	O95999
SCNN1D	P51172
HOXB4	P17483
ZXDC	Q2QGD7
UACA	Q9BZF9
KIF1A	Q12756
RORC	P51449
PNRC2	Q9NPJ4
RGN	Q15493
ITGB1BP2	Q9UKP3
PNRC1	Q12796
MAP6	Q96JE9
ADAM33	Q9BZ11
CRIM1	Q9NZV1
MEGF8	Q7Z7M0
NELL1	Q92832
NELL2	Q99435
ABCA2	Q9BZC7
ARHGAP22	Q7Z5H3
BTG3	Q14201
HHATL	Q9HCP6
SRRM4	A7MD48
LTBP3	Q9NS15
MANBAL	Q9NQG1
MIA3	Q5JRA6
NOXA1	Q86UR1
OLIG1	Q8TAK6
PCSK6	P29122
RBM12B	Q8IXT5
RPS17	P08708
ZNF233	A6NK53
PRPF39	Q86UA1
NFS1	Q9Y697
HNRNPLL	Q8WVV9
CAD	P27708
CKMT1B	P12532
RUSC1	Q9BVN2
DUSP23	Q9BVJ7
PSD4	Q8NDX1
ATXN3	P54252
RASGEF1A	Q8N9B8
CAMK1D	Q8IU85
ANKRD13D	Q6ZTN6
TRIM52	Q96A61
TRIM44	Q96DX7
STK31	Q9BXU1
ERMN	Q8TAM6
SGK2	Q9HBY8
SPANXN3	Q5MJ09
GBA	P04062
GRK7	Q8WTQ7
SFTPC	P11686
ACSL4	O60488
ACSL3	O95573
DEPTOR	Q8TB45
CORO7	P57737
KLHL21	Q9UJP4
PHKG2	P15735
WDHD1	O75717
CC2D1A	Q6P1N0
NFATC3	Q12968
IRF2BP2	Q7Z5L9
PHKG1	Q16816
C1QBP	Q07021
TRIM13	O60858
UBXN7	O94888
UBXN8	O00124
UBXN10	Q96LJ8
KBTBD2	Q8IY47
BRWD3	Q6RI45
SNCA	P37840
JKAMP	Q9P055
SCYL2	Q6P3W7
RBM28	Q9NW13
RPL17	P18621
UBR7	Q8N806
FBXO8	Q9NRD0
PCSK1	P29120
XPNPEP3	Q9NQH7
RBMXL2	O75526
RPLP0	P05388
PABPC1	P11940
ACO1	P21399
LIN52	Q52LA3
RORB	Q92753
TMEM161A	Q9NX61
PCDH17	O14917
CASC4	Q6P4E1
EBP	Q15125
ALS2	Q96Q42
RIOK1	Q9BRS2
MFAP1	P55081
RASAL2	Q9UJF2
IGKV1-12	A0A0C4DH73
CFAP20	Q9Y6A4
TMEM102	Q8N9M5
TBC1D1	Q86TI0
ADORA3	P0DMS8
ADCK2	Q7Z695
KCTD20	Q7Z5Y7
LARS2	Q15031
CHCHD4	Q8N4Q1
LLGL2	Q6P1M3
WDR92	Q96MX6
PNMA3	Q9UL41
PRR5	P85299
DHRS4	Q9BTZ2
PRR5L	Q6MZQ0
YBX1	P67809
FAM120A	Q9NZB2
STAG2	Q8N3U4
DCTN1	Q14203
RAB5C	P51148
SPRR1B	P22528
LIN54	Q6MZP7
ANAPC13	Q9BS18
BUB1B	O60566
HAUS4	Q9H6D7
TUBG1	P23258
TUBGCP6	Q96RT7
CDCA5	Q96FF9
CEP152	O94986
CDC5L	Q99459
POC1B	Q8TC44
KIF1C	O43896
PRPF8	Q6P2Q9
CEP131	Q9UPN4
SNW1	Q13573
NHP2L1	P55769
CDK1	P06493
SOGA1	O94964
TUBB4B	P68371
TUBGCP2	Q9BSJ2
MPRIP	Q6WCQ1
TUBGCP3	Q96CW5
MKI67	P46013
TAF15	Q92804
NDC80	O14777
EIF3A	Q14152
EDC4	Q6P2E9
CEP76	Q8TAP6
CNOT3	O75175
KNSTRN	Q9Y448
KAT8	Q9H7Z6
CEP350	Q5VT06
GNG12	Q9UBI6
HAUS1	Q96CS2
COPA	P53621
MIS12	Q9H081
SGOL1	Q5FBB7
CEP72	Q9P209
MAD2L1	Q13257
ANAPC1	Q9H1A4
RMI1	Q9H9A7
FAM107B	Q9H098
FAM107B	Q9H098
HAUS8	Q9BT25
UHRF1BP1L	A0JNW5
SPRR2D	P22532
TRIM28	Q13263
TOP3A	Q13472
THEM6	Q8WUY1
THEM6	Q8WUY1
SASS6	Q6UVJ0
CEP170	Q5SW79
ITSN2	Q9NZM3
RECQL4	O94761
CAPZA1	P52907
BUD13	Q9BRD0
DDB1	Q16531
PLK1	P53350
PRRC1	Q96M27
DYNC1I2	Q13409
TRIM69	Q86WT6
CLP1	Q92989
CEP55	Q53EZ4
NEK9	Q8TD19
BMPR1A	P36894
SHCBP1	Q8NEM2
CSNK1A1L	Q8N752
SMC6	Q96SB8
ERH	P84090
CEP170	Q5SW79
SYCP1	Q15431
SHOC2	Q9UQ13
TTC33	Q6PID6
CD2AP	Q9Y5K6
KIF23	Q02241
TIPIN	Q9BVW5
WDR34	Q96EX3
ZWINT	O95229
IKBIP	Q70UQ0
BPIFB1	Q8TDL5
CDC16	Q13042
WRAP53	Q9BUR4
HAUS6	Q7Z4H7
BACH1	O14867
NUP188	Q5SRE5
NDUFAF7	Q7L592
HNRNPA1L2	Q32P51
BCL7B	Q9BQE9
IFFO2	Q5TF58
GPATCH11	Q8N954
ANAPC2	Q9UJX6
TOR1AIP1	Q5JTV8
CDC23	Q9UJX2
NUP98	P52948
TPR	P12270
PCYT1A	P49585
CHORDC1	Q9UHD1
POC1A	Q8NBT0
HAUS4	Q9H6D7
TTLL12	Q14166
SPRR2B	P35325
CFAP97	Q9P2B7
AKAP12	Q02952
SPAG5	Q96R06
SPECC1	Q5M775
ACTR10	Q9NZ32
B4GALT1	P15291
AIF1L	Q9BQI0
CNOT11	Q9UKZ1
KANSL3	Q9P2N6
BAP1	Q92560
DDX41	Q9UJV9
ACTR1B	P42025
MZT1	Q08AG7
TACC3	Q9Y6A5
ESPL1	Q14674
ESPL1	Q14674
ANAPC13	Q9BS18
TOP2B	Q02880
NRIP3	Q9NQ35
FAM129B	Q96TA1
BCL7B	Q9BQE9
FOLR1	P15328
LSM14A	Q8ND56
ZW10	O43264
MICAL3	Q7RTP6
DEFA1	P59665
FAM172A	Q8WUF8
RBMX2	Q9Y388
ERCC6L	Q2NKX8
WDR60	Q8WVS4
KIFC3	Q9BVG8
FAM83D	Q9H4H8
NIPBL	Q6KC79
ANPEP	P15144
RRP9	O43818
RANBP2	P49792
CCDC15	Q0P6D6
INF2	Q27J81
NUP214	P35658
CCT7	Q99832
PDCL3	Q9H2J4
NAA50	Q9GZZ1
DCTN3	O75935
CKAP5	Q14008
CCT3	P49368
CETN2	P41208
RAB8A	P61006
CUL3	Q13618
CTCF	P49711
EIF3CL	B5ME19
ITPRIP	Q8IWB1
TIMELESS	Q9UNS1
ANAPC16	Q96DE5
SPRR2E	P22531
CTC1	Q2NKJ3
HAUS6	Q7Z4H7
MAD2L2	Q9UI95
EDA2R	Q9HAV5
CEP120	Q8N960
CEP120	Q8N960
OGG1	O15527
PPP2R3C	Q969Q6
GORASP1	Q9BQQ3
SAPCD2	Q86UD0
PAFAH1B1	P43034
HNRNPH1	P31943
NUP107	P57740
KIF14	Q15058
EDEM3	Q9BZQ6
NDC1	Q9BTX1
NDC1	Q9BTX1
FAM110B	Q8TC76
PPP2R1A	P30153
PROSER1	Q86XN7
DDX21	Q9NR30
HAUS8	Q9BT25
MISP	Q8IVT2
PDS5A	Q29RF7
CSK	P41240
GLCCI1	Q86VQ1
CDC27	P30260
CDCA8	Q53HL2
ANLN	Q9NQW6
NIFK	Q9BYG3
TUBA3E	Q6PEY2
GTF3C6	Q969F1
CDC25B	P30305
CHTOP	Q9Y3Y2
UBE2C	O00762
ORC1	Q13415
GPC5	P78333
CRNKL1	Q9BZJ0
RGPD8	Q99666
RGPD8	O14715
CDC6	Q99741
MAU2	Q9Y6X3
RACGAP1	Q9H0H5
MZT2B	Q6NZ67
CHMP3	Q9Y3E7
HAUS3	Q68CZ6
DCTN3	O75935
EEA1	Q15075
RAD21	O60216
DSN1	Q9H410
CDKN2AIP	Q9NXV6
DTL	Q9NZJ0
KCTD5	Q9NXV2
FGFR1OP	O95684
NEDD1	Q8NHV4
NAA15	Q9BXJ9
CEP152	O94986
CEP78	Q5JTW2
CEP135	Q66GS9
RGPD2	P0DJD1
CACNA2D1	P54289
TMEM109	Q9BVC6
LSM14A	Q8ND56
FAM83H	Q6ZRV2
STK38	Q15208
MOB1B	Q7L9L4
KANSL2	Q9H9L4
ZNF326	Q5BKZ1
AIF1L	Q9BQI0
NUP88	Q99567
MICAL3	Q7RTP6
RTN4RL2	Q86UN3
ZNF331	Q9NQX6
C1ORF52	Q8N6N3
CENPE	Q02224
DHX35	Q9H5Z1
TTK	P33981
MAD2L1BP	Q15013
FAM110A	Q9BQ89
RBAK	Q9NYW8
STXBP4	Q6ZWJ1
HAUS3	Q68CZ6
SPRR2G	Q9BYE4
SLAIN2	Q9P270
CCDC9	Q9Y3X0
POGK	Q9P215
MZT1	Q08AG7
CWC22	Q9HCG8
KIF24	Q5T7B8
RPL35	P42766
MICALL2	Q8IY33
ZNF124	Q15973
XDH	P47989
ZWILCH	Q9H900
NEXN	Q0ZGT2
PCMTD1	Q96MG8
NBAS	A2RRP1
KIF20A	O95235
PAPSS1	O43252
NSMCE2	Q96MF7
ZNF324	O75467
HAUS7	Q99871
MTPAP	Q9NVV4
CNOT6	Q9ULM6
ZC3H4	Q9UPT8
MOB2	Q70IA6
MORC3	Q14149
LRWD1	Q9UFC0
DIXDC1	Q155Q3
PREB	Q9HCU5
